TRAVEL_ID,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,SLEEP,ACTIVITY,RESULT_MVMN,Cluster
e_e004720,60,1,2인 가족 여행,0,쇼핑 / 구매,버스,7
e_e000914,20,0,나홀로 여행,0,쇼핑 / 구매,기차,5
e_e003564,30,3,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e000396,30,1,2인 가족 여행,1,휴식,자가용,0
e_e001890,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,버스,5
e_e007797,30,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e003039,30,0,나홀로 여행,1,쇼핑 / 구매,자가용,0
e_e000782,50,2,3인 이상 여행(가족 외),0,없음,버스,7
e_e008478,20,1,2인 여행(가족 외),0,쇼핑 / 구매,버스,5
e_e000655,50,0,나홀로 여행,2,휴식,지하철,3
e_e006837,60,1,자녀 동반 여행,0,단순 구경 / 산책 / 걷기,지하철,7
e_e008666,40,0,나홀로 여행,0,쇼핑 / 구매,자가용,0
e_e002058,60,5,3인 이상 여행(가족 외),1,단순 구경 / 산책 / 걷기,택시,3
e_e010598,20,1,2인 여행(가족 외),0,쇼핑 / 구매,기차,5
e_e007838,30,0,나홀로 여행,0,쇼핑 / 구매,기차,0
e_e007403,20,3,3인 이상 여행(가족 외),0,없음,지하철,1
e_e007169,40,1,자녀 동반 여행,0,체험 활동 / 입장 및 관람,버스,6
e_e001267,40,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,0
e_e005765,40,1,2인 여행(가족 외),0,쇼핑 / 구매,지하철,0
e_e001538,40,5,3인 이상 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,3
e_e000608,20,0,나홀로 여행,1,쇼핑 / 구매,자가용,8
e_e003810,30,1,2인 가족 여행,0,없음,자가용,0
e_e010900,20,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,지하철,5
e_e002491,20,1,2인 여행(가족 외),1,휴식,자가용,8
e_e000556,30,2,부모 동반 여행,0,휴식,자가용,6
e_e002389,60,1,2인 가족 여행,0,쇼핑 / 구매,자가용,7
e_e003334,30,0,나홀로 여행,0,체험 활동 / 입장 및 관람,지하철,0
e_e007807,40,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,버스,0
e_e005532,50,3,3인 이상 여행(가족 외),1,체험 활동 / 입장 및 관람,자가용,3
e_e003175,30,3,자녀 동반 여행,1,없음,자가용,1
e_e001098,30,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,0
e_e000627,40,0,나홀로 여행,1,휴식,버스,0
e_e007836,40,2,자녀 동반 여행,0,없음,자가용,6
e_e012144,20,1,2인 가족 여행,0,쇼핑 / 구매,기차,5
e_e011483,20,1,2인 여행(가족 외),0,쇼핑 / 구매,자가용,5
e_e000346,60,2,3인 이상 여행(가족 외),0,없음,자가용,7
