TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e004720,41,여,60,4,1.0,3,3,11,,4,9.0,2,2,11,11500,47,47760,41,41390,2,4,4,4,4,4,5,5,경기도,서울,2인 가족 여행,2023-07-16~2023-07-16,2,6.0,,1
e000914,30,여,20,6,1.0,1,1,3,,4,,3,2,45,45110,26,26230,11,11650,3,6,2,3,2,2,4,1,대전광역시,서울,나홀로 여행,2023-06-03~2023-06-03,1,7.0,10.0,0
e003564,41,여,30,7,1.0,2,4,2,,7,12.0,2,2,42,42210,48,48840,41,41480,1,1,1,3,2,1,1,7,경기도,경기,자녀 동반 여행,2023-06-24~2023-06-24,8,3.0,7.0,3
e000396,41,여,30,6,1.0,2,2,2,,2,5.0,2,1,50,50110,42,42150,44,44825,3,1,2,5,6,6,1,6,경기도,인천,2인 가족 여행,2023-05-20~2023-05-21,9,1.0,7.0,1
e001890,11,남,20,6,1.0,1,4,3,,5,9.0,3,4,42,42210,26,26320,50,50110,6,3,2,3,6,3,5,6,서울특별시,경기,2인 여행(가족 외),2023-06-04~2023-06-04,3,1.0,5.0,1
e007797,41,남,30,6,1.0,1,3,3,,5,8.0,3,4,26,26290,50,50110,50,50130,2,1,2,2,1,1,4,6,경기도,경기,나홀로 여행,2023-08-31~2023-08-31,1,8.0,7.0,0
e003039,41,여,30,6,1.0,2,4,5,,11,12.0,2,1,41,41820,42,42830,42,42150,2,1,7,2,2,7,4,5,경기도,경기,나홀로 여행,2023-06-16~2023-06-17,2,,,0
e000782,41,남,50,7,1.0,2,3,2,,5,9.0,2,1,42,42150,41,41450,11,11710,4,7,7,2,5,7,1,2,경기도,서울,3인 이상 여행(가족 외),2023-05-27~2023-05-27,5,3.0,1.0,2
e008478,11,여,20,5,1.0,1,1,12,,1,,3,4,46,46790,11,11110,50,50110,2,2,2,2,4,4,6,3,서울특별시,경기,2인 여행(가족 외),2023-08-26~2023-08-26,10,7.0,3.0,1
e000655,11,남,50,6,1.0,1,1,4,,3,,2,2,11,11500,28,28245,50,50110,3,2,2,4,3,5,3,2,서울특별시,경기,나홀로 여행,2023-05-20~2023-05-22,2,6.0,10.0,0
e006837,41,여,60,5,1.0,2,4,9,,4,7.0,3,5,50,50130,42,42210,26,26230,5,4,5,2,4,5,2,7,경기도,경기,자녀 동반 여행,2023-08-18~2023-08-18,1,5.0,,1
e008666,27,남,40,4,1.0,2,4,4,,4,4.0,2,1,26,26350,11,11680,47,47770,1,1,6,2,6,6,6,5,대구광역시,서울,나홀로 여행,2023-08-24~2023-08-24,1,7.0,5.0,0
e002058,41,남,60,6,1.0,2,2,2,,3,6.0,3,2,50,50110,26,26350,42,42150,1,7,1,1,1,7,7,7,경기도,경기,3인 이상 여행(가족 외),2023-06-02~2023-06-03,3,2.0,1.0,5
e010598,30,여,20,6,3.0,1,2,12,,2,4.0,3,3,11,11110,42,42820,27,27110,3,2,2,2,2,6,6,7,대전광역시,서울,2인 여행(가족 외),2023-08-24~2023-08-24,2,3.0,7.0,1
e007838,30,여,30,6,1.0,1,1,3,,3,,3,6,11,11170,11,11440,11,11110,7,6,7,7,7,6,2,6,대전광역시,서울,나홀로 여행,2023-08-28~2023-08-28,8,1.0,5.0,0
e007403,41,여,20,8,1.0,1,1,2,,5,,3,2,11,11140,11,11215,11,11350,6,6,4,3,4,5,2,6,경기도,서울,3인 이상 여행(가족 외),2023-08-20~2023-08-20,1,3.0,2.0,3
e007169,41,여,40,6,1.0,2,3,11,,1,8.0,2,3,42,42830,47,47930,41,41830,2,2,1,6,6,5,4,6,경기도,서울,자녀 동반 여행,2023-08-16~2023-08-16,8,7.0,3.0,1
e001267,41,남,40,6,1.0,2,2,2,,7,7.0,2,1,11,11110,50,50110,46,46130,4,3,2,3,2,5,2,6,경기도,경기,2인 여행(가족 외),2023-06-03~2023-06-03,1,7.0,3.0,1
e005765,41,남,40,6,1.0,1,1,2,,5,,3,4,11,11110,11,11215,50,50110,4,2,3,2,3,5,4,2,경기도,서울,2인 여행(가족 외),2023-07-27~2023-07-27,2,3.0,7.0,1
e001538,41,남,40,4,3.0,2,2,2,,4,6.0,3,4,31,31110,26,26500,42,42170,2,1,1,4,1,1,1,7,경기도,경기,3인 이상 여행(가족 외),2023-06-03~2023-06-04,2,3.0,1.0,5
e000608,47,여,20,6,1.0,1,3,12,,3,7.0,2,3,11,11440,26,26350,47,47110,4,2,4,4,5,4,6,6,경상북도,서울,나홀로 여행,2023-05-22~2023-05-23,7,4.0,2.0,0
e003810,28,여,30,7,1.0,2,2,3,,7,12.0,2,1,50,50130,42,42150,47,47130,1,1,1,1,1,1,1,6,인천광역시,경기,2인 가족 여행,2023-07-01~2023-07-01,2,3.0,5.0,1
e010900,11,남,20,6,2.0,1,4,12,,1,3.0,3,5,41,41150,41,41820,26,26350,3,1,5,3,3,4,5,3,서울특별시,경기,2인 여행(가족 외),2023-09-01~2023-09-01,1,3.0,7.0,1
e002491,41,남,20,5,1.0,1,4,7,,5,9.0,3,4,50,50110,41,41830,42,42150,5,5,5,6,6,6,6,6,경기도,경기,2인 여행(가족 외),2023-06-23~2023-06-24,2,3.0,1.0,1
e000556,11,남,30,6,1.0,1,3,3,,6,11.0,3,5,50,50130,42,42150,26,26350,3,2,2,2,2,3,5,6,서울특별시,경기,부모 동반 여행,2023-06-06~2023-06-06,1,3.0,7.0,2
e002389,11,여,60,4,1.0,2,2,11,,3,4.0,3,5,42,42170,41,41280,41,41570,5,4,5,4,2,4,5,3,서울특별시,경기,2인 가족 여행,2023-06-07~2023-06-07,6,3.0,1.0,1
e003334,11,남,30,6,1.0,1,1,3,,5,,3,2,42,42210,26,26350,42,42150,6,2,6,2,2,4,7,4,서울특별시,경기,나홀로 여행,2023-07-02~2023-07-02,7,1.0,,0
e007807,41,여,40,6,1.0,2,4,13,,7,12.0,1,1,50,50130,42,42210,26,26350,3,3,3,3,5,2,2,6,경기도,서울,2인 여행(가족 외),2023-08-22~2023-08-22,1,6.0,7.0,1
e005532,11,남,50,7,1.0,2,3,11,,1,9.0,2,1,50,50110,41,41830,42,42210,4,4,4,4,7,4,1,7,서울특별시,경기,3인 이상 여행(가족 외),2023-07-31~2023-08-01,1,3.0,2.0,3
e003175,41,여,30,6,1.0,2,4,13,,3,7.0,3,4,42,42210,42,42760,50,50130,2,1,2,1,2,2,6,6,경기도,경기,자녀 동반 여행,2023-06-26~2023-06-27,10,,,3
e001098,11,여,30,7,1.0,1,3,3,,4,11.0,2,1,42,42210,41,41480,26,26500,6,2,3,4,5,2,5,4,서울특별시,경기,2인 여행(가족 외),2023-05-29~2023-05-29,1,3.0,2.0,1
e000627,41,남,40,7,1.0,2,4,3,,5,8.0,3,4,41,41110,28,28185,42,42150,6,4,3,2,3,5,2,5,경기도,인천,나홀로 여행,2023-05-19~2023-05-20,2,1.0,4.0,0
e007836,43,여,40,6,1.0,2,4,3,,6,10.0,2,2,42,42750,43,43150,45,45730,2,2,2,4,2,2,6,5,충청북도,경기,자녀 동반 여행,2023-08-19~2023-08-19,3,1.0,10.0,2
e012144,44,여,20,6,3.0,1,4,12,,1,7.0,1,4,50,50130,11,11710,26,26350,5,1,3,5,2,3,1,7,충청남도,서울,2인 가족 여행,2023-08-31~2023-08-31,3,1.0,2.0,1
e011483,41,여,20,7,1.0,1,3,2,,2,3.0,2,3,11,11230,41,41820,41,41390,5,3,1,1,7,5,2,7,경기도,서울,2인 여행(가족 외),2023-08-26~2023-08-26,1,3.0,7.0,1
e000346,11,남,60,6,1.0,2,3,2,,6,6.0,2,1,26,26200,28,28710,11,11440,3,5,4,6,3,5,4,5,서울특별시,인천,3인 이상 여행(가족 외),2023-05-27~2023-05-27,7,3.0,1.0,2
e003929,41,여,40,5,1.0,2,3,11,,1,4.0,2,2,42,42170,11,11230,48,48330,5,5,5,4,5,5,4,6,경기도,경기,나홀로 여행,2023-07-01~2023-07-01,5,7.0,1.0,0
e007231,41,여,60,6,1.0,2,5,2,,5,7.0,3,2,42,42150,50,50130,47,47130,2,3,4,5,5,4,3,5,경기도,서울,2인 여행(가족 외),2023-08-19~2023-08-19,4,7.0,1.0,1
e006884,11,남,30,6,1.0,2,2,3,,6,9.0,2,2,42,42130,42,42750,42,42770,1,1,1,3,1,1,2,5,서울특별시,경기,2인 가족 여행,2023-08-20~2023-08-20,6,3.0,2.0,1
e003449,11,여,60,2,1.0,3,1,11,,2,,2,1,41,41360,41,41650,42,42780,1,5,4,2,2,3,4,4,서울특별시,경기,2인 여행(가족 외),2023-06-17~2023-06-17,2,1.0,3.0,1
e001544,11,여,30,6,1.0,1,1,4,,4,,3,3,47,47130,45,45110,46,46130,4,2,1,1,1,7,1,7,서울특별시,경기,2인 가족 여행,2023-06-04~2023-06-04,7,2.0,,1
e010174,41,여,20,6,1.0,1,3,3,,4,9.0,2,1,48,48120,11,11260,41,41360,2,3,1,4,3,5,3,7,경기도,서울,2인 여행(가족 외),2023-08-26~2023-08-26,3,1.0,7.0,1
e006179,41,여,30,6,1.0,1,2,3,,7,7.0,3,6,50,50110,42,42150,42,42210,4,1,3,2,5,3,7,7,경기도,서울,2인 여행(가족 외),2023-08-07~2023-08-09,2,1.0,3.0,1
e003381,41,여,30,7,1.0,1,2,13,,5,6.0,2,2,41,41170,41,41820,27,27140,3,4,2,4,4,2,3,6,경기도,경기,2인 여행(가족 외),2023-06-17~2023-06-17,1,2.0,3.0,1
e009505,41,남,30,6,1.0,1,1,5,,4,,3,3,42,42210,48,48220,31,31710,1,1,1,6,1,1,7,2,경기도,경기,2인 여행(가족 외),2023-08-26~2023-08-26,3,1.0,7.0,1
e007871,41,여,40,6,1.0,2,3,11,,2,6.0,2,2,47,47130,28,28710,42,42110,3,2,2,1,3,4,1,6,경기도,서울,자녀 동반 여행,2023-08-27~2023-08-27,8,7.0,3.0,2
e007583,41,남,20,5,1.0,1,1,2,,6,,2,1,48,48170,11,11680,26,26500,6,2,4,2,3,6,5,5,경기도,서울,2인 여행(가족 외),2023-08-24~2023-08-24,3,1.0,7.0,1
e002045,28,남,30,6,1.0,1,2,3,,5,5.0,3,6,42,42210,26,26350,44,44825,2,1,4,3,2,2,2,5,인천광역시,경기,2인 여행(가족 외),2023-06-05~2023-06-06,2,1.0,3.0,1
e001251,41,여,30,7,1.0,2,4,2,,7,12.0,1,1,50,50130,47,47930,42,42830,6,1,3,1,4,6,4,2,경기도,서울,자녀 동반 여행,2023-05-28~2023-05-29,3,8.0,2.0,3
e003409,43,여,30,6,1.0,1,2,3,,4,5.0,2,2,50,50130,48,48310,46,46150,1,1,1,4,4,4,7,7,충청북도,서울,2인 여행(가족 외),2023-06-18~2023-06-19,5,3.0,1.0,1
e003870,11,남,60,4,1.0,2,2,13,,5,6.0,2,2,41,41360,28,28710,41,41460,3,3,4,4,3,4,5,5,서울특별시,경기,3대 동반 여행(친척 포함),2023-06-24~2023-06-25,3,2.0,7.0,5
e003073,11,여,20,6,2.0,1,2,12,,1,1.0,1,5,50,50130,42,42720,42,42230,6,4,4,2,3,4,7,5,서울특별시,경기,3인 이상 여행(가족 외),2023-07-04~2023-07-05,1,2.0,7.0,7
e003547,41,여,20,6,3.0,1,4,12,,2,11.0,3,1,11,11680,42,42210,50,50110,6,5,4,2,4,6,5,2,경기도,서울,나홀로 여행,2023-06-24~2023-06-25,7,1.0,4.0,0
e004313,41,여,20,6,1.0,1,4,2,,4,10.0,2,1,46,46150,29,29110,47,47110,2,3,1,7,4,3,2,6,경기도,경기,나홀로 여행,2023-07-07~2023-07-08,1,2.0,6.0,0
e001188,41,남,40,6,1.0,2,3,3,,6,7.0,2,1,26,26350,47,47130,50,50130,1,1,4,2,4,4,4,4,경기도,경기,3인 이상 여행(가족 외),2023-06-03~2023-06-03,3,1.0,6.0,2
e010740,41,여,20,5,1.0,1,5,3,,4,8.0,3,7,50,50130,26,26350,11,11110,4,2,2,2,2,2,2,6,경기도,서울,나홀로 여행,2023-09-04~2023-09-04,1,2.0,7.0,0
e006816,11,남,30,6,1.0,2,2,11,,2,7.0,2,1,42,42150,42,42820,47,47130,3,1,1,1,1,2,1,6,서울특별시,경기,2인 여행(가족 외),2023-08-11~2023-08-11,1,3.0,5.0,1
e010729,41,여,20,6,1.0,1,3,3,,4,6.0,3,1,11,11440,26,26350,41,41110,6,2,2,2,2,6,2,5,경기도,서울,부모 동반 여행,2023-08-24~2023-08-24,7,1.0,6.0,2
e001103,41,여,40,5,1.0,1,3,13,,4,6.0,2,1,50,50110,50,50130,42,42210,1,1,4,4,2,2,3,6,경기도,서울,3인 이상 여행(가족 외),2023-05-29~2023-05-30,2,3.0,1.0,2
e000745,11,여,40,6,1.0,2,4,2,,5,9.0,2,1,41,41130,46,46130,11,11680,2,4,2,2,6,3,1,5,서울특별시,경기,3인 이상 여행(가족 외),2023-05-27~2023-05-27,3,8.0,7.0,2
e010991,11,남,30,6,3.0,4,1,3,,5,,2,1,42,42820,42,42830,42,42750,2,2,1,4,1,2,1,7,서울특별시,경기,2인 여행(가족 외),2023-08-27~2023-08-27,3,7.0,1.0,1
e007421,11,여,30,7,5.0,1,4,2,,6,12.0,2,2,41,41110,11,11680,41,41360,1,7,1,1,7,1,1,7,서울특별시,경기,2인 여행(가족 외),2023-08-19~2023-08-19,3,8.0,7.0,1
e001142,11,여,30,5,1.0,1,1,13,,3,,3,6,50,50130,42,42150,26,26350,3,1,1,4,4,4,5,6,서울특별시,인천,2인 여행(가족 외),2023-06-06~2023-06-08,1,2.0,7.0,1
e001026,41,남,30,7,1.0,2,2,13,,6,11.0,3,10,50,50130,42,42210,11,11560,2,2,3,3,2,4,2,6,경기도,경기,2인 가족 여행,2023-06-04~2023-06-05,3,1.0,2.0,1
e000628,11,남,40,6,1.0,1,1,3,,7,,3,3,42,42150,41,41820,26,26350,5,3,2,6,5,4,4,5,서울특별시,경기,3인 이상 여행(가족 외),2023-05-26~2023-05-28,3,2.0,1.0,2
e002284,41,남,20,7,1.0,1,1,12,,4,,2,1,50,50110,41,41590,26,26350,2,2,1,3,4,2,6,7,경기도,경기,2인 여행(가족 외),2023-06-03~2023-06-03,3,7.0,5.0,1
e004561,41,여,30,6,1.0,2,2,3,,5,9.0,2,1,41,41460,11,11110,50,50130,3,6,3,3,3,2,6,5,경기도,경기,나홀로 여행,2023-07-22~2023-07-22,7,2.0,1.0,0
e004050,11,여,30,6,1.0,2,4,3,,9,12.0,2,2,41,41830,42,42150,46,46730,4,3,2,1,6,5,2,7,서울특별시,경기,자녀 동반 여행,2023-07-02~2023-07-02,1,5.0,3.0,3
e003775,41,여,30,7,1.0,1,1,13,,6,,2,1,26,26350,26,26710,50,50130,2,2,1,2,2,3,3,6,경기도,서울,2인 여행(가족 외),2023-07-01~2023-07-01,3,,,1
e000686,41,남,30,4,1.0,1,1,8,,4,,3,8,50,50110,26,26350,45,45110,3,2,1,2,2,6,3,3,경기도,경기,2인 여행(가족 외),2023-06-05~2023-06-05,1,3.0,2.0,1
e007862,41,여,40,5,1.0,1,2,3,,4,4.0,3,3,42,42150,46,46130,47,47110,4,3,3,3,4,4,6,6,경기도,인천,2인 여행(가족 외),2023-08-26~2023-08-26,1,8.0,7.0,1
e007914,11,여,20,6,1.0,1,4,3,,4,4.0,4,1,50,50130,42,42210,42,42110,4,5,3,4,6,3,6,7,서울특별시,경기,2인 여행(가족 외),2023-08-27~2023-08-27,8,7.0,5.0,1
e002775,11,여,40,6,1.0,2,3,3,,8,11.0,2,1,42,42760,45,45110,41,41480,1,4,4,6,6,3,2,2,서울특별시,경기,자녀 동반 여행,2023-06-24~2023-06-24,1,3.0,7.0,2
e006497,41,남,40,6,1.0,2,3,2,,8,8.0,3,10,42,42210,26,26350,11,11200,1,2,2,1,1,2,1,3,경기도,서울,자녀 동반 여행,2023-08-14~2023-08-15,3,2.0,1.0,2
e004655,41,여,30,4,1.0,1,2,3,,4,5.0,2,2,11,11710,41,41360,42,42830,4,4,4,4,4,4,4,4,경기도,서울,2인 여행(가족 외),2023-07-08~2023-07-08,1,3.0,7.0,1
e002625,43,여,30,5,1.0,1,2,4,,4,8.0,4,1,42,42150,47,47770,26,26350,3,1,4,3,3,5,6,6,충청북도,경기,2인 여행(가족 외),2023-06-30~2023-07-01,2,1.0,5.0,1
e009412,28,여,20,4,1.0,1,5,12,,1,6.0,2,1,11,11440,42,42150,27,27230,5,5,5,3,3,5,5,5,인천광역시,서울,2인 여행(가족 외),2023-08-22~2023-08-22,3,2.0,1.0,1
e012268,11,여,30,6,1.0,1,1,2,,4,,2,2,42,42760,46,46130,45,45130,1,2,2,6,2,1,6,2,서울특별시,경기,2인 여행(가족 외),2023-09-02~2023-09-02,3,1.0,2.0,1
e002064,41,남,20,6,2.0,1,5,12,,2,10.0,2,1,50,50110,26,26350,11,11680,6,1,1,1,7,2,1,7,경기도,서울,2인 여행(가족 외),2023-06-02~2023-06-02,3,1.0,2.0,1
e007816,11,남,30,6,1.0,1,3,2,,7,11.0,3,2,41,41570,26,26350,42,42210,4,1,6,2,2,4,1,3,서울특별시,경기,나홀로 여행,2023-08-26~2023-08-26,2,1.0,6.0,0
e002084,11,남,20,5,1.0,1,2,2,,4,4.0,2,2,41,41360,42,42150,41,41830,3,4,2,3,4,3,6,5,서울특별시,경기,2인 여행(가족 외),2023-06-03~2023-06-03,1,3.0,7.0,1
e005157,30,남,60,6,1.0,2,2,3,,1,4.0,2,1,48,48310,42,42150,26,26710,3,5,5,5,3,5,5,4,대전광역시,서울,자녀 동반 여행,2023-07-17~2023-07-17,8,3.0,1.0,2
e002570,11,남,50,7,1.0,2,4,2,,7,8.0,2,2,41,41830,41,41820,41,41460,2,3,4,4,2,3,3,6,서울특별시,경기,3인 이상 여행(가족 외),2023-06-10~2023-06-11,3,1.0,7.0,3
e010492,41,여,20,6,1.0,1,5,2,,3,8.0,2,1,42,42150,48,48310,45,45110,3,4,2,3,2,2,3,5,경기도,인천,부모 동반 여행,2023-08-26~2023-08-26,3,10.0,5.0,3
e006272,41,여,30,5,1.0,1,2,3,,4,4.0,2,1,42,42150,41,41360,50,50130,3,4,4,4,2,3,2,1,경기도,경기,2인 여행(가족 외),2023-08-05~2023-08-05,1,3.0,5.0,1
e004326,11,남,20,5,1.0,1,3,10,,5,8.0,2,1,41,41290,42,42150,41,41210,5,4,5,5,5,5,4,6,서울특별시,경기,3인 이상 가족 여행(친척 포함),2023-07-07~2023-07-08,3,1.0,5.0,2
e004658,45,여,20,6,1.0,1,6,3,,4,4.0,2,2,26,26350,11,11110,30,30110,6,2,2,6,4,3,2,7,전라북도,서울,2인 여행(가족 외),2023-07-08~2023-07-08,3,5.0,2.0,1
e007796,11,여,40,5,1.0,2,4,13,,3,8.0,2,1,41,41650,42,42210,28,28710,2,2,2,2,2,6,2,6,서울특별시,경기,자녀 동반 여행,2023-08-27~2023-08-27,2,6.0,3.0,3
e007155,41,여,20,6,1.0,1,4,3,,4,8.0,2,2,50,50130,50,50110,42,42810,3,3,2,2,3,2,4,6,경기도,경기,2인 여행(가족 외),2023-08-12~2023-08-12,6,7.0,3.0,1
e002527,28,여,30,6,1.0,2,3,4,,3,5.0,2,1,41,41280,31,31200,41,41480,7,7,7,5,5,7,3,3,인천광역시,경기,나홀로 여행,2023-06-11~2023-06-11,2,1.0,6.0,0
e005472,47,남,20,4,1.0,1,4,12,,1,7.0,3,6,26,26500,11,11110,11,11440,5,3,3,5,5,5,3,5,경상북도,서울,2인 가족 여행,2023-07-24~2023-07-24,3,7.0,1.0,1
e002991,41,여,40,4,1.0,2,2,11,,2,4.0,4,1,41,41110,26,26440,50,50130,2,2,4,5,6,4,2,6,경기도,경기,3인 이상 가족 여행(친척 포함),2023-06-10~2023-06-11,2,7.0,1.0,3
e004393,42,여,20,6,1.0,1,4,4,,3,8.0,2,1,42,42150,50,50110,26,26350,2,1,1,6,5,3,7,3,강원도,경기,2인 여행(가족 외),2023-07-21~2023-07-22,1,3.0,2.0,1
e003006,41,남,30,4,1.0,2,2,7,,7,10.0,2,1,26,26350,41,41130,29,29110,6,1,1,6,1,6,2,1,경기도,경기,2인 가족 여행,2023-06-11~2023-06-11,8,7.0,3.0,1
e004860,29,여,20,4,1.0,1,4,3,,4,11.0,2,1,46,46130,50,50110,26,26350,2,1,1,4,3,5,6,7,광주광역시,경기,2인 가족 여행,2023-07-07~2023-07-09,3,1.0,5.0,1
e000693,11,남,40,5,1.0,2,4,11,,2,6.0,2,2,42,42150,50,50110,28,28110,1,4,1,3,6,1,1,6,서울특별시,인천,자녀 동반 여행,2023-05-20~2023-05-20,1,3.0,2.0,2
e004380,11,여,30,6,1.0,2,4,4,,4,7.0,3,4,42,42820,50,50110,42,42210,3,4,2,4,4,4,4,5,서울특별시,인천,자녀 동반 여행,2023-07-01~2023-07-01,7,9.0,3.0,3
e010724,41,여,20,6,1.0,1,1,4,,4,,3,5,11,11680,26,26110,50,50110,3,3,2,4,5,3,5,4,경기도,경기,2인 여행(가족 외),2023-08-26~2023-08-26,3,2.0,7.0,1
e000018,41,여,40,6,1.0,2,5,11,,1,5.0,3,6,41,41360,42,42790,11,11410,2,1,2,7,4,1,2,2,경기도,경기,자녀 동반 여행,2023-04-29~2023-04-29,1,7.0,8.0,2
e011151,11,남,30,6,1.0,2,2,3,,7,12.0,3,3,11,11380,11,11110,11,11740,3,7,4,6,4,2,6,4,서울특별시,경기,2인 가족 여행,2023-08-27~2023-08-27,1,2.0,3.0,1
e001351,11,남,30,6,1.0,1,2,3,,6,8.0,1,2,26,26530,48,48310,42,42210,4,2,3,2,3,5,5,6,서울특별시,경기,2인 여행(가족 외),2023-06-05~2023-06-06,1,2.0,9.0,1
e011588,11,남,40,6,1.0,2,4,2,,7,8.0,2,1,42,42150,41,41570,44,44130,6,2,2,2,2,4,2,3,서울특별시,경기,자녀 동반 여행,2023-08-26~2023-08-26,3,2.0,6.0,2
e001458,11,여,60,6,1.0,3,2,2,,2,8.0,2,1,50,50130,26,26350,46,46150,2,3,3,2,2,2,2,2,서울특별시,경기,자녀 동반 여행,2023-06-03~2023-06-03,1,3.0,2.0,1
e007800,28,남,30,5,1.0,2,3,7,,6,6.0,2,3,41,41290,41,41110,42,42110,4,4,3,4,4,3,2,5,인천광역시,경기,자녀 동반 여행,2023-08-26~2023-08-26,8,1.0,7.0,2
e003885,11,여,20,6,1.0,1,3,3,,6,7.0,2,2,42,42150,41,41820,28,28110,1,2,2,6,6,3,5,7,서울특별시,경기,2인 여행(가족 외),2023-07-07~2023-07-08,2,3.0,1.0,1
e005483,28,여,30,5,1.0,2,2,11,,3,7.0,2,1,43,43130,41,41110,11,11170,3,5,2,4,3,6,3,7,인천광역시,경기,2인 가족 여행,2023-07-22~2023-07-22,3,1.0,5.0,1
e005781,41,여,20,6,1.0,1,2,4,,3,4.0,3,2,42,42150,26,26350,45,45110,3,2,2,6,6,2,6,2,서울특별시,경기,부모 동반 여행,2023-08-04~2023-08-06,2,9.0,3.0,4
e005110,41,남,30,7,1.0,1,1,2,,5,,2,2,42,42150,50,50110,47,47110,2,2,2,2,2,1,1,7,경기도,경기,3인 이상 여행(가족 외),2023-08-05~2023-08-06,2,9.0,3.0,3
e013030,44,남,40,7,1.0,2,4,2,,6,8.0,2,1,41,41110,44,44825,43,43760,4,4,2,2,4,4,2,2,충청남도,경기,자녀 동반 여행,2023-09-09~2023-09-09,5,7.0,2.0,3
e003867,28,여,20,6,1.0,1,4,3,,4,9.0,3,5,42,42210,26,26350,50,50130,3,1,3,2,5,6,2,4,인천광역시,경기,2인 여행(가족 외),2023-07-01~2023-07-02,1,2.0,3.0,1
e003126,41,여,20,7,5.0,1,3,2,,5,10.0,1,1,42,42150,50,50130,42,42210,1,6,1,4,4,6,6,5,경기도,경기,3인 이상 여행(가족 외),2023-06-24~2023-06-25,1,3.0,2.0,2
e008174,11,남,40,6,1.0,2,4,3,,5,6.0,2,1,42,42150,43,43150,26,26350,5,3,3,5,5,3,3,5,서울특별시,경기,나홀로 여행,2023-08-22~2023-08-22,1,2.0,,0
e009771,28,남,20,6,1.0,1,2,2,,4,5.0,3,3,50,50130,42,42150,26,26230,4,1,2,4,5,2,7,3,인천광역시,경기,2인 여행(가족 외),2023-08-24~2023-08-24,3,1.0,7.0,1
e004821,11,여,20,6,1.0,1,1,3,,4,,2,2,42,42150,26,26350,50,50110,4,2,2,3,4,4,1,7,서울특별시,경기,2인 여행(가족 외),2023-07-22~2023-07-23,3,8.0,7.0,1
e007509,11,여,30,4,1.0,1,4,3,,3,4.0,3,1,50,50110,50,50130,41,41460,7,4,4,1,4,4,4,7,서울특별시,경기,자녀 동반 여행,2023-09-02~2023-09-02,7,1.0,2.0,3
